nama produk;harga produk;nama penjual;kota toko;produk terjual;rating produk;;pendapatan;
Kerupuk Oren/Kerupuk Seblak Oren/Kerupuk Ikan Tenggiri Oren 500 Gr;8900;Kurniamakmur75;Depok;17;05.00;;151300;
Kerupuk Seblak Berkualitas 250Gr;12000;Ikan Laut Segar Cak Alfath;Jakarta Selatan;6;05.00;;72000;
Kerupuk Bawang Mentah/Kerupuk Seblak/Kerupuk Warna Warni 1Kg;37000;Tukangsayurjkt;Jakarta Selatan;30;05.00;;1110000;
Kerupuk Bawang Seblak Bintang Mentah / Kerupuk Tersanjung 100 Gram;4000;Delimafcb;Surabaya;19;05.00;;76000;
Kerupuk Seblak/Nasgor Mentah 250Gr;10000;Ikan Segar Cak Adnan;Jakarta Selatan;7;05.00;;70000;
Seblak Makroni Pedas Gurih Ekstra Daun Jeruk 100 Gram;5000;Seblak Putra Bandung;Kab. Bandung;100;04.08;;500000;
Kerupuk Seblak Maknyik;18000;Dilladystore;Malang;60;04.09;;1080000;
Kerupuk Seblak Kencur Pedas 100 Gram;5000;Keripikususkrisis;Kab. Gresik;60;04.09;;300000;
Kerupuk Seblak Kering Sebring Pedas Daun Jeruk 100Gr;4500;Pedas Gilaa;Surabaya;500;04.09;;2250000;
Seblak Baso Aci Instan;13500;Hilmandza;Kab. Tangerang;8;05.00;;108000;
;2210311;;;;;;1044265485;SUM
;;;;;;;10442654,85;MEAN
